999 43.67972765052356
43.67740686922414 43.678357118280935 43.6789783255677 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356 43.67972765052356
Namespace(alpha=1.0, cutoff=7, delta=1.0, gamma=1, idForProcess=3208767, language='Sesotho_Acqdiv', model=None)
sr 0
5 2
sm 4
av 6
ng 8
17 10
9a 12
2 14
2a 16
9 18
ap 20
6 22
pn 24
f^ 26
lo 28
cj 30
m^ 32
if 34
di 36
wo 38
t^ 40
1 42
7 44
2s 46
st 48
ei 50
rf 52
pr 54
fi 56
ps 58
.. 60
3 62
14 64
ht 66
8 68
lc 70
1s 72
cp 74
om 76
wh 78
10 80
rl 82
a. 84
ij 86
wa 88
